net,length_um
stage_3._0323_,44.3
stage_3.input_fifo$D_OUT\[10\],44.26
stage_3._0152_,44.22
stage_4._0403_,44.18
net221,44.06
stage_2._0095_,43.98
stage_2._0589_,43.98
stage_2.input_fifo$D_OUT\[114\],43.96
stage_2._0368_,43.86
stage_3.input_fifo$D_OUT\[47\],43.86
stage_2.input_fifo$D_OUT\[69\],43.78
stage_2._0238_,43.465
stage_3._0330_,43.46
stage_4._0472_,43.42
stage_2.input_fifo$D_OUT\[112\],43.4
net136,43.4
stage_2._0226_,43.17
stage_3.input_fifo$D_OUT\[25\],42.94
stage_3.input_fifo$D_OUT\[107\],42.84
stage_2._0413_,42.78
stage_3.input_fifo$D_OUT\[86\],42.72
stage_3.read_output_3\[18\],42.62
stage_2._0277_,42.385
stage_3._0320_,42.26
stage_4._0438_,42.26
stage_2._0304_,42.235
stage_4._0224_,42.02
stage_2._0161_,41.96
stage_3.input_fifo$D_OUT\[92\],41.86
stage_3.input_fifo$D_OUT\[40\],41.8
stage_4.input_fifo$D_OUT\[67\],41.75
stage_2._0002_,41.68
stage_4._0279_,41.66
stage_2.input_fifo$D_OUT\[19\],41.56
stage_3._0743_,41.54
stage_4._0349_,41.495
stage_3._0361_,41.46
stage_2._0248_,41.365
stage_3.input_fifo$D_OUT\[95\],41.36
stage_2._0316_,41.19
net191,41.16
_035_,41.04
stage_2._0153_,41.005
stage_3._0667_,40.98
stage_3.input_fifo$D_OUT\[78\],40.98
_048_,40.92
stage_4._0563_,40.87
stage_4.IF_NOT_input_fifo_first_BIT_2_AND_NOT_input_fi_ETC___d199\[34\],40.82
stage_2._0016_,40.74
stage_2._0588_,40.68
stage_3.input_fifo$D_OUT\[87\],40.56
stage_2._0300_,40.52
stage_2.input_fifo$D_OUT\[70\],40.5
stage_4.IF_NOT_input_fifo_first_BIT_2_AND_NOT_input_fi_ETC___d199\[38\],40.46
stage_2._0516_,40.42
stage_4._0147_,40.42
stage_3.input_fifo$D_OUT\[93\],40.4
stage_2._0476_,40.36
stage_3._0274_,40.32
stage_2._0159_,40.24
stage_4.input_fifo$D_OUT\[64\],40.24
stage_4._0106_,40.2
stage_3._0804_,40.175
stage_3._0863_,40.12
stage_4._0625_,40.1
input_2.D_OUT\[48\],40.08
stage_2._0335_,39.9
stage_3._0835_,39.9
stage_2._0521_,39.86
stage_2._0287_,39.84
stage_4._0133_,39.82
_014_,39.6
stage_3.input_fifo$D_OUT\[94\],39.58
stage_2._0392_,39.57
stage_3.input_fifo$D_OUT\[102\],39.48
net79,39.48
net81,39.48
stage_3.input_fifo$D_OUT\[99\],39.46
stage_2._0066_,39.37
stage_2._0120_,39.22
_018_,39.2
stage_3.input_fifo$D_OUT\[44\],39.2
stage_4._0572_,39.2
net84,39.14
_164_,39.08
stage_2._0322_,39.08
stage_4._0421_,39.06
stage_3.read_output_3\[15\],38.96
stage_3._0722_,38.8
stage_2._0173_,38.75
input_2.D_OUT\[53\],38.74
stage_3._0169_,38.72
stage_3._0432_,38.68
stage_3._0657_,38.68
stage_3._0208_,38.56
stage_4._0344_,38.52
_102_,38.5
stage_2._0163_,38.445
stage_2._0055_,38.365
stage_3.input_fifo$D_OUT\[55\],38.3
stage_2._0239_,38.205
input_1.D_OUT\[60\],38.19
net231,38.16
net185,38.04
stage_3._0764_,38.02
stage_4._0556_,37.88
stage_3._0079_,37.81
stage_3._0508_,37.76
net147,37.76
stage_2._0433_,37.74
stage_4._0157_,37.7
stage_2._0481_,37.62
stage_3._0522_,37.58
stage_3.input_fifo$D_OUT\[98\],37.56
net175,37.56
stage_3.input_fifo$D_OUT\[111\],37.52
_051_,37.44
stage_3._0504_,37.44
stage_4.IF_NOT_input_fifo_first_BIT_2_AND_NOT_input_fi_ETC___d199\[52\],37.44
stage_2._0378_,37.42
input_1.D_OUT\[56\],37.36
stage_2._0210_,37.36
stage_2._0514_,37.34
stage_2._0194_,37.28
stage_2._0130_,37.22
stage_2.read_output_2\[104\],37.18
stage_2._0318_,37.16
stage_4.IF_NOT_input_fifo_first_BIT_2_AND_NOT_input_fi_ETC___d199\[42\],37.16
stage_4._0118_,37.12
stage_3._0737_,37.1
stage_2._0018_,37.08
stage_2.input_fifo$D_OUT\[54\],37.08
net99,37.06
stage_3._0442_,37.04
net181,37.02
stage_2.read_output_2\[19\],37
net176,36.98
stage_3.input_fifo$D_OUT\[81\],36.92
stage_4._0431_,36.91
input_1.D_OUT\[62\],36.86
stage_3._0289_,36.86
stage_2._0076_,36.82
stage_3.input_fifo$D_OUT\[85\],36.795
stage_2._0305_,36.76
stage_3._0686_,36.76
stage_2._0354_,36.68
net140,36.62
stage_3._0462_,36.61
_006_,36.56
stage_3._0647_,36.56
net187,36.56
stage_4._0409_,36.54
stage_2._0208_,36.485
clknet_leaf_37_CLK,36.455
stage_2.read_output_2\[15\],36.42
stage_3._0691_,36.42
stage_4._0052_,36.36
stage_3._0553_,36.34
stage_2._0523_,36.32
stage_4._0002_,36.3
stage_2._0045_,36.225
stage_4.IF_NOT_input_fifo_first_BIT_2_AND_NOT_input_fi_ETC___d199\[24\],36.2
_025_,36.18
stage_2._0380_,36.18
stage_2.input_fifo$D_OUT\[51\],36
stage_2.input_fifo$D_OUT\[53\],36
stage_2._0229_,35.98
stage_3.input_fifo$D_OUT\[28\],35.98
stage_3._0450_,35.94
stage_4.IF_NOT_input_fifo_first_BIT_2_AND_NOT_input_fi_ETC___d199\[35\],35.82
stage_4._0008_,35.82
stage_3._0420_,35.81
stage_3.input_fifo$D_OUT\[12\],35.78
stage_3._0584_,35.64
stage_3._0817_,35.6
stage_3.input_fifo$D_OUT\[9\],35.5
net408,35.42
_105_,35.4
stage_4._0117_,35.38
stage_2._0278_,35.35
stage_2._0222_,35.34
stage_3._0542_,35.34
stage_3.input_fifo$D_OUT\[37\],35.32
stage_3.input_fifo$D_OUT\[110\],35.3
stage_3._0331_,35.28
stage_4._0394_,35.16
_045_,35.14
stage_3._0778_,35.04
net141,35.04
stage_3._0463_,35.02
stage_3._0564_,34.98
stage_2._0508_,34.94
stage_4.IF_NOT_input_fifo_first_BIT_2_AND_NOT_input_fi_ETC___d199\[41\],34.92
stage_2._0447_,34.875
stage_2._0125_,34.74
stage_3.read_output_3\[44\],34.72
stage_3._0202_,34.68
stage_3._0355_,34.62
input_2.D_OUT\[56\],34.58
stage_4._0006_,34.58
stage_2.input_fifo$D_OUT\[65\],34.55
stage_2._0327_,34.54
stage_3.input_fifo$D_OUT\[33\],34.5
stage_3._0136_,34.48
stage_2.input_fifo$D_OUT\[50\],34.46
_053_,34.3
stage_2._0133_,34.26
stage_2.read_output_2\[7\],34.26
stage_4.IF_NOT_input_fifo_first_BIT_2_AND_NOT_input_fi_ETC___d199\[28\],34.26
stage_3._0813_,34.22
net94,34.18
stage_2._0310_,34.165
stage_4._0333_,34.1
stage_2._0127_,34.07
stage_2._0110_,33.995
_030_,33.975
stage_2._0438_,33.96
stage_4._0565_,33.9
stage_3._0727_,33.82
stage_2._0168_,33.8
stage_3.input_fifo$D_OUT\[36\],33.8
stage_3._0084_,33.78
stage_3._0036_,33.64
stage_3._0212_,33.58
stage_4._0343_,33.58
net169,33.58
stage_2._0151_,33.56
_180_,33.54
stage_2._0136_,33.52
stage_3.read_output_3\[4\],33.5
stage_3._0708_,33.48
input_1.D_OUT\[4\],33.42
stage_3._0609_,33.38
net150,33.34
stage_2._0206_,33.3
stage_4._0292_,33.22
stage_4._0435_,33.22
_023_,33.18
stage_3._0870_,33.18
stage_4._0267_,33.15
_007_,33.1
_016_,33.08
stage_3.input_fifo$D_OUT\[57\],33.07
stage_2._0202_,33.06
stage_4.IF_NOT_input_fifo_first_BIT_2_AND_NOT_input_fi_ETC___d199\[33\],33.06
stage_3._0156_,33
stage_4._0483_,32.98
net96,32.94
stage_3.input_fifo$D_OUT\[48\],32.9
stage_2.read_output_2\[9\],32.86
stage_4._0161_,32.86
stage_2._0309_,32.85
stage_3.read_output_3\[27\],32.76
stage_4._0447_,32.76
_098_,32.74
stage_2.read_output_2\[23\],32.74
stage_4._0389_,32.68
input_1.D_OUT\[8\],32.64
stage_2.read_output_2\[17\],32.64
stage_3._0073_,32.64
stage_2._0503_,32.62
stage_3._0125_,32.59
stage_4.IF_NOT_input_fifo_first_BIT_2_AND_NOT_input_fi_ETC___d199\[20\],32.52
stage_3._0250_,32.42
stage_2.read_output_2\[5\],32.4
stage_3._0325_,32.4
net143,32.34
stage_3.input_fifo$D_OUT\[54\],32.32
stage_4._0153_,32.32
stage_2._0138_,32.26
stage_3._0637_,32.26
stage_4.IF_NOT_input_fifo_first_BIT_2_AND_NOT_input_fi_ETC___d199\[30\],32.26
_047_,32.22
stage_3._0552_,32.22
stage_2._0255_,32.215
stage_3.input_fifo$D_OUT\[19\],32.16
input_2.D_OUT\[22\],32.14
stage_3._0536_,32.07
net98,32.06
input_1.D_OUT\[54\],31.86
stage_4._0197_,31.86
stage_3._0270_,31.84
net148,31.84
stage_2._0336_,31.82
stage_4._0125_,31.82
_170_,31.8
stage_3.read_output_3\[19\],31.8
stage_3._0435_,31.76
stage_2.feed_output_stage_1\[127\],31.74
stage_2.read_output_2\[93\],31.74
stage_3._0010_,31.74
stage_2._0105_,31.62
stage_2._0590_,31.46
stage_3._0485_,31.46
stage_4._0636_,31.36
stage_3.RDY_feed,31.32
net82,31.26
stage_4._0606_,31.22
stage_2._0008_,31.18
stage_3.input_fifo$D_OUT\[15\],31.16
stage_4.IF_NOT_input_fifo_first_BIT_2_AND_NOT_input_fi_ETC___d199\[53\],31.16
stage_4.input_fifo$D_OUT\[0\],31.16
stage_2.input_fifo$D_OUT\[66\],31.14
input_2.D_OUT\[24\],31.13
stage_3.input_fifo$D_OUT\[24\],31.08
net83,31.04
stage_2.feed_output_stage_1\[112\],31.02
stage_2.read_output_2\[67\],31.015
input_2.D_OUT\[47\],30.96
stage_2.feed_output_stage_1\[126\],30.9
stage_3._0194_,30.9
stage_3._0359_,30.82
input_2.D_OUT\[46\],30.8
stage_2._0200_,30.78
input_2.D_OUT\[14\],30.76
stage_4._0287_,30.76
stage_2.read_output_2\[110\],30.74
stage_2._0506_,30.68
stage_3.read_output_3\[54\],30.68
stage_3.input_fifo$D_OUT\[16\],30.62
stage_2._0146_,30.615
stage_4.IF_NOT_input_fifo_first_BIT_2_AND_NOT_input_fi_ETC___d199\[49\],30.6
stage_2._0512_,30.56
stage_2._0158_,30.53
input_2.D_OUT\[62\],30.48
_106_,30.46
stage_3._0199_,30.41
stage_2._0490_,30.4
stage_2.read_output_2\[31\],30.4
stage_4._0444_,30.385
stage_2._0460_,30.38
stage_3._0480_,30.37
stage_3.input_fifo$D_OUT\[27\],30.36
input_2.D_OUT\[21\],30.32
stage_4.input_fifo$D_OUT\[57\],30.305
net86,30.3
stage_3._0282_,30.28
_026_,30.24
stage_2._0117_,30.24
stage_2._0457_,30.24
stage_2.read_output_2\[48\],30.24
stage_2.read_output_2\[26\],30.22
stage_4._0418_,30.22
stage_3._0044_,30.14
_146_,30.135
net95,30.12
clknet_leaf_47_CLK,30.12
stage_2.input_fifo$D_OUT\[73\],30.1
stage_2.input_fifo$D_OUT\[74\],30.08
input_1.D_OUT\[52\],30.02
stage_2.read_output_2\[27\],29.98
stage_3.read_output_3\[51\],29.98
net85,29.96
stage_3.input_fifo$D_OUT\[101\],29.94
stage_3._0237_,29.91
stage_2._0558_,29.88
stage_2.read_output_2\[18\],29.88
stage_2._0172_,29.82
stage_2._0211_,29.76
stage_2._0167_,29.75
stage_4._0210_,29.66
stage_4._0378_,29.66
stage_2._0488_,29.62
net88,29.62
stage_2._0582_,29.6
stage_2._0205_,29.54
stage_2._0215_,29.54
stage_2._0201_,29.52
stage_3.input_fifo$D_OUT\[91\],29.5
stage_2.read_output_2\[53\],29.42
stage_2._0339_,29.32
stage_2._0487_,29.3
stage_2.read_output_2\[20\],29.3
stage_3._0068_,29.3
_086_,29.24
stage_2._0396_,29.24
stage_2._0115_,29.18
stage_3._0032_,29.18
stage_2.read_output_2\[81\],29.16
net168,29.16
stage_2._0478_,29.145
stage_4._0603_,29.08
_036_,29.04
stage_3._0154_,29.03
stage_3._0469_,29
stage_3._0225_,28.995
stage_4.IF_NOT_input_fifo_first_BIT_2_AND_NOT_input_fi_ETC___d199\[19\],28.98
stage_2._0156_,28.945
stage_2._0176_,28.94
stage_2.read_output_2\[66\],28.94
stage_3._0740_,28.86
stage_4._0530_,28.84
stage_2._0119_,28.76
stage_3._0428_,28.74
stage_4._0093_,28.74
stage_3._0493_,28.72
net93,28.7
stage_2.input_fifo$D_OUT\[60\],28.68
stage_2._0078_,28.64
net416,28.64
stage_3._0475_,28.61
stage_4._0520_,28.58
stage_4._0550_,28.52
stage_3._0512_,28.46
_187_,28.38
stage_2.read_output_2\[8\],28.38
stage_3._0279_,28.35
input_1.D_OUT\[50\],28.32
stage_4._0082_,28.32
stage_3._0366_,28.2
stage_3._0676_,28.2
net91,28.16
stage_4._0362_,28.08
net172,28.04
net160,28.02
stage_3._0315_,28.01
stage_3._0476_,28
stage_4.IF_NOT_input_fifo_first_BIT_2_AND_NOT_input_fi_ETC___d199\[29\],27.92
net87,27.92
stage_4._0245_,27.86
stage_2.read_output_2\[60\],27.82
stage_2._0350_,27.74
stage_3._0396_,27.74
stage_3._0200_,27.68
stage_3._0606_,27.66
stage_2._0170_,27.56
stage_3._0307_,27.56
stage_4._0027_,27.56
stage_2._0160_,27.53
stage_3._0227_,27.5
stage_3.input_fifo$D_OUT\[50\],27.48
stage_3._0207_,27.39
stage_3.input_fifo$D_OUT\[34\],27.38
stage_4._0284_,27.34
stage_3._0039_,27.28
stage_3._0158_,27.24
stage_4._0230_,27.24
stage_3._0632_,27.22
stage_4.IF_NOT_input_fifo_first_BIT_2_AND_NOT_input_fi_ETC___d199\[31\],27.2
input_1.D_OUT\[17\],27.16
stage_3._0436_,27.16
stage_2.read_output_2\[106\],27.1
stage_2._0213_,27.065
stage_4._0299_,27.04
stage_2._0103_,27.02
stage_3.input_fifo$D_OUT\[7\],26.94
net90,26.9
stage_2._0169_,26.895
stage_2._0203_,26.885
stage_3._0372_,26.86
stage_2._0162_,26.805
stage_2._0217_,26.8
stage_3.read_output_3\[10\],26.76
stage_3.input_fifo$D_OUT\[97\],26.72
stage_3.read_output_3\[53\],26.7
stage_4._0304_,26.66
stage_3._0750_,26.58
stage_3.input_fifo$D_OUT\[8\],26.58
net97,26.56
input_2.D_OUT\[50\],26.44
_091_,26.38
stage_3.read_output_3\[40\],26.38
stage_3._0709_,26.36
stage_3.read_output_3\[26\],26.36
stage_3._0240_,26.34
stage_3._0411_,26.34
stage_4._0234_,26.34
stage_3.input_fifo$D_OUT\[35\],26.32
_182_,26.31
net92,26.3
stage_3.read_output_3\[55\],26.26
stage_2._0434_,26.23
net144,26.2
stage_2._0556_,26.18
stage_2._0571_,26.18
stage_3.read_output_3\[56\],26.16
stage_2._0149_,25.98
net165,25.98
stage_3._0481_,25.96
stage_3._0421_,25.94
stage_3._0580_,25.94
stage_3.input_fifo$D_OUT\[32\],25.94
stage_3._0122_,25.92
stage_3.input_fifo$D_OUT\[113\],25.92
stage_3.read_output_3\[39\],25.9
_185_,25.88
stage_4._0348_,25.88
stage_4._0273_,25.78
stage_3._0458_,25.75
stage_2._0258_,25.745
stage_2._0212_,25.74
stage_3.read_output_3\[34\],25.7
stage_4._0547_,25.7
stage_4._0095_,25.68
stage_2._0247_,25.66
stage_3._0223_,25.65
input_2.D_OUT\[7\],25.6
stage_4._0552_,25.6
input_1.D_OUT\[28\],25.5
stage_3._0222_,25.5
stage_3._0269_,25.5
input_1.D_OUT\[15\],25.48
stage_4._0512_,25.48
net161,25.46
input_1.D_OUT\[24\],25.42
input_2.D_OUT\[5\],25.42
stage_3._0634_,25.4
_010_,25.36
stage_2._0269_,25.36
stage_3._0455_,25.355
input_2.D_OUT\[41\],25.34
stage_4._0150_,25.3
stage_2.read_output_2\[112\],25.26
stage_3._0531_,25.24
stage_4._0449_,25.24
input_2.D_OUT\[9\],25.2
stage_3._0460_,25.14
stage_2._0074_,25.12
stage_3._0671_,25.12
stage_3._0263_,25.08
net173,25.06
input_2.D_OUT\[26\],25.04
input_2.FULL_N,25
input_2.D_OUT\[12\],24.98
stage_3._0382_,24.88
net225,24.84
stage_3._0468_,24.83
stage_4._0463_,24.82
stage_4._0427_,24.76
stage_3._0164_,24.72
stage_4.IF_NOT_input_fifo_first_BIT_2_AND_NOT_input_fi_ETC___d199\[44\],24.66
stage_4._0257_,24.64
stage_3._0354_,24.6
stage_3.read_output_3\[35\],24.52
stage_3.read_output_3\[13\],24.48
stage_2._0483_,24.32
stage_3._0016_,24.32
stage_3.input_fifo$D_OUT\[53\],24.3
stage_3._0340_,24.26
stage_3.read_output_3\[41\],24.26
_069_,24.24
stage_3.read_output_3\[17\],24.24
stage_2._0171_,24.205
stage_2.input_fifo$D_OUT\[58\],24.2
stage_3._0260_,24.16
input_1.D_OUT\[7\],24.14
stage_2._0456_,24.14
stage_2.input_fifo$D_OUT\[57\],24.14
input_1.D_OUT\[63\],24.1
stage_3._0049_,24.09
stage_2.read_output_2\[61\],24.04
_050_,24.02
stage_3._0453_,23.97
stage_2.input_fifo$D_OUT\[63\],23.96
input_1.D_OUT\[49\],23.94
stage_4._0358_,23.92
stage_2._0191_,23.88
stage_3._0314_,23.88
stage_3._0507_,23.88
stage_2.input_fifo$D_OUT\[56\],23.82
stage_2._0166_,23.8
_071_,23.78
stage_4._0313_,23.76
input_2.D_OUT\[11\],23.72
net249,23.7
stage_2._0594_,23.66
stage_3._0369_,23.655
stage_2._0312_,23.64
stage_3._0755_,23.64
stage_3._0286_,23.6
stage_4._0422_,23.6
input_1.D_OUT\[5\],23.535
stage_2.input_fifo$D_OUT\[55\],23.52
stage_4._0581_,23.52
stage_3._0695_,23.5
stage_2._0207_,23.44
stage_2._0474_,23.44
stage_3.input_fifo$D_OUT\[58\],23.4
stage_3.read_output_3\[21\],23.4
stage_2._0485_,23.38
stage_2._0321_,23.34
stage_3._0310_,23.34
stage_2._0123_,23.32
stage_3.input_fifo$D_OUT\[51\],23.32
stage_4._0462_,23.32
stage_3._0288_,23.3
stage_3.input_fifo$D_OUT\[90\],23.3
stage_3.read_output_3\[30\],23.28
net174,23.22
_032_,23.2
stage_3._0201_,23.18
stage_3._0060_,23.16
stage_3._0520_,23.145
stage_2._0164_,23.1
stage_2._0113_,23.08
stage_2._0418_,22.98
input_1.D_OUT\[9\],22.97
stage_3._0562_,22.96
stage_2._0129_,22.95
stage_3._0239_,22.94
stage_2._0491_,22.92
stage_2.read_output_2\[65\],22.88
stage_2._0228_,22.865
stage_4._0340_,22.86
input_1.D_OUT\[23\],22.84
stage_3.input_fifo$D_OUT\[112\],22.74
_101_,22.72
input_1.D_OUT\[10\],22.72
stage_2._0175_,22.7
stage_3._0055_,22.68
stage_4._0380_,22.68
stage_4._0513_,22.65
stage_2._0494_,22.64
stage_3._0296_,22.64
stage_3._0328_,22.6
stage_3._0431_,22.58
stage_4._0386_,22.58
input_2.D_OUT\[3\],22.54
input_2.D_OUT\[33\],22.52
stage_3._0403_,22.52
input_1.D_OUT\[25\],22.5
stage_3._0399_,22.48
stage_2._0218_,22.465
stage_3._0004_,22.46
stage_3._0131_,22.46
stage_3._0567_,22.44
stage_3.read_output_3\[12\],22.42
stage_4._0414_,22.42
stage_4._0468_,22.39
stage_4._0177_,22.38
input_1.D_OUT\[2\],22.34
stage_3._0298_,22.34
net251,22.34
input_1.D_OUT\[47\],22.3
stage_2.read_output_2\[49\],22.28
stage_3._0576_,22.28
stage_3._0683_,22.22
stage_4._0017_,22.22
input_2.D_OUT\[43\],22.18
stage_4._0496_,22.18
stage_4._0441_,22.16
stage_4._0502_,22.1
stage_4._0519_,22.1
_157_,22.06
input_1.D_OUT\[26\],22.06
stage_2._0245_,22.06
stage_2._0230_,22.05
stage_4.IF_NOT_input_fifo_first_BIT_2_AND_NOT_input_fi_ETC___d199\[26\],22.04
input_1.D_OUT\[12\],22.02
stage_3._0349_,22.02
stage_4._0586_,22
input_2.D_OUT\[20\],21.98
stage_2.input_fifo$D_OUT\[68\],21.98
stage_2.input_fifo$D_OUT\[71\],21.98
stage_3._0257_,21.98
input_1.D_OUT\[43\],21.92
input_2.D_OUT\[10\],21.92
stage_3._0007_,21.9
stage_3._0566_,21.9
stage_4._0476_,21.9
stage_3.input_fifo$D_OUT\[23\],21.86
stage_4._0569_,21.86
input_1.D_OUT\[13\],21.83
stage_3._0846_,21.8
stage_3._0281_,21.78
stage_2._0436_,21.7
stage_3._0302_,21.69
stage_2._0427_,21.66
stage_3._0568_,21.66
stage_4._0091_,21.66
stage_2._0177_,21.64
stage_3._0773_,21.6
input_2.D_OUT\[35\],21.56
stage_3._0326_,21.56
_104_,21.54
stage_2._0065_,21.54
stage_3._0503_,21.52
stage_4.RDY_feed,21.52
stage_4._0589_,21.46
stage_4._0536_,21.42
_089_,21.4
stage_3._0588_,21.4
input_1.D_OUT\[29\],21.36
stage_3.read_output_3\[6\],21.36
stage_3._0339_,21.34
stage_4.IF_NOT_input_fifo_first_BIT_2_AND_NOT_input_fi_ETC___d199\[14\],21.32
stage_4._0455_,21.265
input_1.D_OUT\[31\],21.26
stage_3._0210_,21.26
stage_2._0261_,21.24
stage_4.IF_NOT_input_fifo_first_BIT_2_AND_NOT_input_fi_ETC___d199\[39\],21.18
stage_2._0021_,21.16
stage_3._0061_,21.14
stage_2._0180_,21.12
stage_3._0831_,21.1
stage_4._0013_,21.06
stage_3.read_output_3\[37\],21.04
stage_3.read_output_3\[14\],21.02
stage_2._0442_,21
stage_3.input_fifo$D_OUT\[116\],21
stage_2.read_output_2\[80\],20.96
stage_2._0387_,20.94
input_2.D_OUT\[32\],20.9
stage_3._0525_,20.9
_001_,20.86
stage_2.input_fifo$D_OUT\[64\],20.86
stage_4._0110_,20.84
stage_4.input_fifo$D_OUT\[2\],20.84
_040_,20.78
stage_2._0394_,20.78
stage_2._0421_,20.78
stage_2.read_output_2\[30\],20.78
stage_3.input_fifo$D_OUT\[30\],20.78
stage_3._0497_,20.76
stage_3._0191_,20.68
input_1.D_OUT\[39\],20.66
stage_3._0338_,20.66
stage_3._0597_,20.66
input_1.D_OUT\[44\],20.64
clknet_leaf_33_CLK,20.62
input_2.D_OUT\[2\],20.6
stage_3._0721_,20.54
stage_4.input_fifo$D_OUT\[1\],20.54
input_2.D_OUT\[25\],20.48
stage_3._0501_,20.48
stage_3.read_output_3\[11\],20.46
stage_3.read_output_3\[31\],20.46
stage_3._0177_,20.45
stage_3._0808_,20.44
net170,20.44
stage_4._0491_,20.42
stage_3._0478_,20.4
stage_3.read_output_3\[23\],20.4
stage_3.read_output_3\[57\],20.36
input_2.D_OUT\[15\],20.34
stage_3._0026_,20.33
_042_,20.32
input_1.D_OUT\[11\],20.3
stage_4._0291_,20.28
stage_2.read_output_2\[113\],20.26
stage_3._0513_,20.24
stage_3._0806_,20.24
stage_4._0318_,20.22
_150_,20.2
stage_2._0109_,20.2
stage_4._0136_,20.2
stage_4._0175_,20.2
stage_3._0350_,20.18
stage_3._0833_,20.18
stage_4._0492_,20.12
clknet_leaf_6_CLK,20.12
stage_2._0259_,20.105
stage_3._0082_,20.05
stage_4._0119_,20.02
stage_4._0624_,20.02
stage_3._0167_,19.92
stage_4._0334_,19.88
input_2.D_OUT\[23\],19.86
stage_2._0499_,19.86
stage_3._0231_,19.86
stage_3._0352_,19.86
stage_4.IF_NOT_input_fifo_first_BIT_2_AND_NOT_input_fi_ETC___d199\[45\],19.78
net200,19.78
stage_4._0149_,19.76
stage_3._0487_,19.74
net166,19.72
stage_2._0570_,19.7
stage_2._0039_,19.69
input_1.D_OUT\[36\],19.62
input_1.D_OUT\[0\],19.6
stage_4._0167_,19.54
stage_3.read_output_3\[46\],19.5
stage_3._0782_,19.48
stage_4._0132_,19.42
stage_4._0529_,19.4
net154,19.4
input_1.DEQ,19.36
stage_3._0699_,19.36
stage_3._0377_,19.34
stage_2._0240_,19.325
stage_4._0096_,19.32
stage_3._0537_,19.3
stage_3._0785_,19.28
stage_4._0001_,19.28
stage_2._0345_,19.26
stage_4._0162_,19.26
stage_2._0232_,19.22
stage_2._0357_,19.18
stage_3._0246_,19.16
stage_3._0430_,19.16
stage_4._0182_,19.16
stage_4._0212_,19.13
stage_2.input_fifo$D_OUT\[61\],19.12
stage_2.input_fifo$D_OUT\[67\],19.12
stage_3._0272_,19.12
input_2.D_OUT\[40\],19.1
stage_3._0457_,19.07
stage_4._0079_,19.06
stage_3._0447_,19.04
stage_4._0354_,19.04
input_1.D_OUT\[38\],19.03
stage_2._0216_,19.02
stage_3.input_fifo$D_OUT\[1\],19.01
stage_4._0072_,19
stage_4._0590_,19
read_output[56],18.97
input_2.D_OUT\[29\],18.96
stage_4._0385_,18.93
stage_4._0196_,18.9
_129_,18.88
stage_4._0099_,18.88
stage_2._0080_,18.86
stage_4.IF_NOT_input_fifo_first_BIT_2_AND_NOT_input_fi_ETC___d199\[51\],18.84
stage_4._0286_,18.84
stage_2.input_fifo$D_OUT\[123\],18.82
stage_4._0401_,18.8
input_2.D_OUT\[27\],18.76
stage_3._0245_,18.76
input_1.D_OUT\[33\],18.74
stage_2._0453_,18.74
stage_2.read_output_2\[62\],18.74
net245,18.74
stage_2._0402_,18.72
stage_2.input_fifo$D_OUT\[62\],18.72
stage_2.read_output_2\[35\],18.72
stage_2.read_output_2\[68\],18.72
stage_3._0185_,18.72
stage_3._0021_,18.7
stage_3.read_output_3\[25\],18.68
stage_3._0008_,18.66
stage_2._0023_,18.62
stage_2.read_output_2\[107\],18.6
stage_3._0193_,18.6
stage_3._0826_,18.6
stage_2.input_fifo$D_OUT\[129\],18.58
stage_2._0414_,18.56
stage_3._0700_,18.56
stage_4._0280_,18.56
stage_4._0503_,18.54
stage_2._0370_,18.52
stage_2._0419_,18.46
stage_3._0414_,18.42
stage_3._0230_,18.38
stage_4.IF_NOT_input_fifo_first_BIT_2_AND_NOT_input_fi_ETC___d199\[27\],18.38
stage_3._0234_,18.34
stage_3._0277_,18.3
stage_3._0287_,18.26
stage_2._0320_,18.235
input_1.D_OUT\[46\],18.22
stage_4._0322_,18.2
stage_3._0524_,18.16
input_2.D_OUT\[19\],18.14
stage_4._0255_,18.14
stage_2._0411_,18.12
stage_4._0160_,18.12
_115_,18.08
stage_2._0122_,18.02
stage_4.IF_NOT_input_fifo_first_BIT_2_AND_NOT_input_fi_ETC___d199\[57\],18.02
stage_3._0448_,17.98
stage_3._0772_,17.98
stage_2._0334_,17.96
stage_3._0351_,17.94
stage_2.feed_output_stage_1\[115\],17.92
stage_2.input_fifo.D_OUT\[1\],17.9
_108_,17.84
stage_4.IF_NOT_input_fifo_first_BIT_2_AND_NOT_input_fi_ETC___d199\[60\],17.82
_155_,17.8
stage_4.IF_NOT_input_fifo_first_BIT_2_AND_NOT_input_fi_ETC___d199\[32\],17.8
stage_4._0522_,17.8
stage_2._0107_,17.78
stage_4._0067_,17.745
stage_3._0374_,17.72
stage_3._0532_,17.72
stage_3._0188_,17.7
stage_4._0585_,17.7
stage_2.read_output_2\[69\],17.68
stage_4._0241_,17.655
_020_,17.64
input_2.D_OUT\[52\],17.62
_058_,17.58
stage_3.read_output_3\[36\],17.56
input_2.D_OUT\[28\],17.54
stage_3.input_fifo$D_OUT\[52\],17.52
stage_3._0038_,17.51
_118_,17.5
stage_4.IF_NOT_input_fifo_first_BIT_2_AND_NOT_input_fi_ETC___d199\[4\],17.48
stage_4._0040_,17.48
stage_4._0294_,17.48
stage_3.input_fifo$D_OUT\[31\],17.46
stage_4._0509_,17.46
stage_3._0604_,17.44
